title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,thumbs,url
LG's new robotic assistant Cloi uses AI to make your home smarter,2018,"[ ""Lucie Ronfaut"" ]",vidéo,Youtube,"Vidéo de présentation par LG d'un nouveau robot assistant, Cloi, sur la chaîne Youtube CNET",CNET,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/l1.pdf.0.png.180.jpeg?v=1654952039400"",""size"":180},{""path"":""_thumbs/shaping-ai/l1.pdf.0.png.360.jpeg?v=1654952039432"",""size"":360},{""path"":""_thumbs/shaping-ai/l1.pdf.0.png.600.jpeg?v=1654952039407"",""size"":600},{""path"":""_thumbs/shaping-ai/l1.pdf.0.png.800.jpeg?v=1654952039550"",""size"":800},{""path"":""_thumbs/shaping-ai/l1.pdf.0.png.1600.jpeg?v=1654952039501"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_145329-l9g
CNIL - Le règlement général sur la protection des données (RGPD),2018,"[ ""Charles Ollion"", ""William Eldin"" ]",texte législatif,Site de la CNIL,Détails du RGPD sur le site de la CNIL,CNIL,"[ ""1.2. Mettre en données le monde"", ""3.5. Justifier les projets d’IA "", ""2.4. Réguler l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cnil-rgpd.pdf.0.png.180.jpeg?v=1654594909149"",""size"":180},{""path"":""_thumbs/shaping-ai/cnil-rgpd.pdf.0.png.360.jpeg?v=1654594909285"",""size"":360},{""path"":""_thumbs/shaping-ai/cnil-rgpd.pdf.0.png.600.jpeg?v=1654594909311"",""size"":600},{""path"":""_thumbs/shaping-ai/cnil-rgpd.pdf.0.png.800.jpeg?v=1654594909330"",""size"":800},{""path"":""_thumbs/shaping-ai/cnil-rgpd.pdf.0.png.1600.jpeg?v=1654594909263"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_114133-5jq
Avis de la CNIL sur les caméras augmentées,2022,"[ ""Félix Tréguer"" ]",avis,CNIL,"après une consultation publique, la CNIL rend son avis sur le déploiement de caméras augmentées et de vidéo surveillance automatisée dans les espaces publics",CNIL,"[ ""2.4. Réguler l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/de-ploiement-de-came-ras-augmente-es-dans-les-espaces-publics-la-cnil-publie-sa-position-cnil.pdf.0.png.180.jpeg?v=1688464148416"",""size"":180},{""path"":""_thumbs/shaping-ai/de-ploiement-de-came-ras-augmente-es-dans-les-espaces-publics-la-cnil-publie-sa-position-cnil.pdf.0.png.360.jpeg?v=1688464148453"",""size"":360},{""path"":""_thumbs/shaping-ai/de-ploiement-de-came-ras-augmente-es-dans-les-espaces-publics-la-cnil-publie-sa-position-cnil.pdf.0.png.600.jpeg?v=1688464148431"",""size"":600},{""path"":""_thumbs/shaping-ai/de-ploiement-de-came-ras-augmente-es-dans-les-espaces-publics-la-cnil-publie-sa-position-cnil.pdf.0.png.800.jpeg?v=1688464148448"",""size"":800},{""path"":""_thumbs/shaping-ai/de-ploiement-de-came-ras-augmente-es-dans-les-espaces-publics-la-cnil-publie-sa-position-cnil.pdf.0.png.1600.jpeg?v=1688464148651"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_114856-gn1
"Consultation publique CNIL caméras ""intelligentes""",2022,"[ ""PA Chevalier"" ]",communiqué,CNIL,Consultation publique de la CNIL sur le traitement automatisé d'images couplé à caméras,CNIL,"[ ""2.4. Réguler l’IA"", ""0. Des modes de participation à l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/came-ras-dites-intelligentes-ou-augmente-es-dans-les-espaces-publics-la-cnil-lance-une-consultation-publique-cnil.pdf.0.png.180.jpeg?v=1654770491343"",""size"":180},{""path"":""_thumbs/shaping-ai/came-ras-dites-intelligentes-ou-augmente-es-dans-les-espaces-publics-la-cnil-lance-une-consultation-publique-cnil.pdf.0.png.360.jpeg?v=1654770491408"",""size"":360},{""path"":""_thumbs/shaping-ai/came-ras-dites-intelligentes-ou-augmente-es-dans-les-espaces-publics-la-cnil-lance-une-consultation-publique-cnil.pdf.0.png.600.jpeg?v=1654770491388"",""size"":600},{""path"":""_thumbs/shaping-ai/came-ras-dites-intelligentes-ou-augmente-es-dans-les-espaces-publics-la-cnil-lance-une-consultation-publique-cnil.pdf.0.png.800.jpeg?v=1654770491402"",""size"":800},{""path"":""_thumbs/shaping-ai/came-ras-dites-intelligentes-ou-augmente-es-dans-les-espaces-publics-la-cnil-lance-une-consultation-publique-cnil.pdf.0.png.1600.jpeg?v=1654770491574"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_122758-6e4
CONCERTATION CITOYENNE SUR LES ENJEUX ETHIQUES LIES A LA PLACE DES ALGORITHMES DANS NOTRE VIE QUOTIDIENNE : SYNTHESE DE LA JOURNEE,2017,"[ ""Félix Tréguer"", ""William Eldin"" ]",communiqué,CNIL,,CNIL,"[ ""2.4. Réguler l’IA"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cr-concertation-citoyenne-algorithmes.pdf.0.png.180.jpeg?v=1654589295281"",""size"":180},{""path"":""_thumbs/shaping-ai/cr-concertation-citoyenne-algorithmes.pdf.0.png.360.jpeg?v=1654589295429"",""size"":360},{""path"":""_thumbs/shaping-ai/cr-concertation-citoyenne-algorithmes.pdf.0.png.600.jpeg?v=1654589295449"",""size"":600},{""path"":""_thumbs/shaping-ai/cr-concertation-citoyenne-algorithmes.pdf.0.png.800.jpeg?v=1654589295544"",""size"":800},{""path"":""_thumbs/shaping-ai/cr-concertation-citoyenne-algorithmes.pdf.0.png.1600.jpeg?v=1654589295295"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_100759-zdh
Drones : la CNIL sanctionne le ministère de l'Intérieur,2021,"[ ""Félix Tréguer"" ]",communiqué,CNIL,,CNIL,"[ ""2.4. Réguler l’IA"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cnil-drone.pdf.0.png.180.jpeg?v=1654367613553"",""size"":180},{""path"":""_thumbs/shaping-ai/cnil-drone.pdf.0.png.360.jpeg?v=1654367613710"",""size"":360},{""path"":""_thumbs/shaping-ai/cnil-drone.pdf.0.png.600.jpeg?v=1654367613731"",""size"":600},{""path"":""_thumbs/shaping-ai/cnil-drone.pdf.0.png.800.jpeg?v=1654367613744"",""size"":800},{""path"":""_thumbs/shaping-ai/cnil-drone.pdf.0.png.1600.jpeg?v=1654367613647"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_203320-15d
Avis de la CNIL sur le projet Data Mining (DGFiP),2021,"[ ""Damien Robinet"" ]",avis,JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE,Délibération no 2020-124 du 10 décembre 2020 portant avis sur un projet de décret portant modalités de mise en œuvre par la direction générale des finances publiques et la direction générale des douanes et droits indirects de traitements informatisés et automatisés permettant la collecte et l’exploitation de données rendues publiques sur les sites internet des opérateurs de plateformes en ligne.,CNIL,"[ ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/joe-20210213-0038-0109-1.pdf.0.png.180.jpeg?v=1668704804682"",""size"":180},{""path"":""_thumbs/shaping-ai/joe-20210213-0038-0109-1.pdf.0.png.360.jpeg?v=1668704804719"",""size"":360},{""path"":""_thumbs/shaping-ai/joe-20210213-0038-0109-1.pdf.0.png.600.jpeg?v=1668704804709"",""size"":600},{""path"":""_thumbs/shaping-ai/joe-20210213-0038-0109-1.pdf.0.png.800.jpeg?v=1668704804811"",""size"":800},{""path"":""_thumbs/shaping-ai/joe-20210213-0038-0109-1.pdf.0.png.1600.jpeg?v=1668704804792"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_180623-ls0
Mise en demeure de Clearview AI par la CNIL,2021,"[ ""Cécile Crichton"" ]",communiqué,CNIL,Communiqué de la CNIL sur la mise en demeure de Clearview AI. Reconnaissance faciale : la CNIL met en demeure CLEARVIEW AI de cesser la réutilisation de photographies accessibles sur Internet.,CNIL,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.4. Réguler l’IA"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cnil-reconnaissance-faciale-la-cnil-met-en-demeure-clearview-ai-de-cesser-la-re-utilisation-de-photographies-accessibles-sur-internet.pdf.0.png.180.jpeg?v=1653919970978"",""size"":180},{""path"":""_thumbs/shaping-ai/cnil-reconnaissance-faciale-la-cnil-met-en-demeure-clearview-ai-de-cesser-la-re-utilisation-de-photographies-accessibles-sur-internet.pdf.0.png.360.jpeg?v=1653919971145"",""size"":360},{""path"":""_thumbs/shaping-ai/cnil-reconnaissance-faciale-la-cnil-met-en-demeure-clearview-ai-de-cesser-la-re-utilisation-de-photographies-accessibles-sur-internet.pdf.0.png.600.jpeg?v=1653919971150"",""size"":600},{""path"":""_thumbs/shaping-ai/cnil-reconnaissance-faciale-la-cnil-met-en-demeure-clearview-ai-de-cesser-la-re-utilisation-de-photographies-accessibles-sur-internet.pdf.0.png.800.jpeg?v=1653919971135"",""size"":800},{""path"":""_thumbs/shaping-ai/cnil-reconnaissance-faciale-la-cnil-met-en-demeure-clearview-ai-de-cesser-la-re-utilisation-de-photographies-accessibles-sur-internet.pdf.0.png.1600.jpeg?v=1653919971089"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_161227-8m0
Manifeste pour une éthique du numérique,2021,"[ ""Célia Zolynski"" ]",manifeste,Comité consultatif d'éthique du numérique,Manifeste pour une éthique du numérique du Comité national pilote du numérique,Comité consultatif éthique numérique,"[ ""2.4. Réguler l’IA"", ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/manifeste-pour-une-e-thique-du-nume-rique-comite-consultatif-national-dethique.pdf.0.png.180.jpeg?v=1655020995424"",""size"":180},{""path"":""_thumbs/shaping-ai/manifeste-pour-une-e-thique-du-nume-rique-comite-consultatif-national-dethique.pdf.0.png.360.jpeg?v=1655020995475"",""size"":360},{""path"":""_thumbs/shaping-ai/manifeste-pour-une-e-thique-du-nume-rique-comite-consultatif-national-dethique.pdf.0.png.600.jpeg?v=1655020995461"",""size"":600},{""path"":""_thumbs/shaping-ai/manifeste-pour-une-e-thique-du-nume-rique-comite-consultatif-national-dethique.pdf.0.png.800.jpeg?v=1655020995481"",""size"":800},{""path"":""_thumbs/shaping-ai/manifeste-pour-une-e-thique-du-nume-rique-comite-consultatif-national-dethique.pdf.0.png.1600.jpeg?v=1655020995633"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_100256-iw9
Projet de loi pour une République numérique. La loyauté des plateformes (CNNum),2015,"[ ""Dominique Cardon"", ""Cécile Crichton"", ""Célia Zolynski"" ]",rapport,Site du CNNum,"Fiche de synthèse du Conseil National du Numérique à propos du ""Projet de loi pour une République numérique"" et, plus spécifiquement, du thème de la loyauté des plateformes",CNNum,"[ ""3.3. Optimiser les algorithmes"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cnnum-projet-de-loi-pour-une-republique-numerique-la-loyaute-des-plateformes.pdf.0.png.180.jpeg?v=1653922345378"",""size"":180},{""path"":""_thumbs/shaping-ai/cnnum-projet-de-loi-pour-une-republique-numerique-la-loyaute-des-plateformes.pdf.0.png.360.jpeg?v=1653922345505"",""size"":360},{""path"":""_thumbs/shaping-ai/cnnum-projet-de-loi-pour-une-republique-numerique-la-loyaute-des-plateformes.pdf.0.png.600.jpeg?v=1653922345507"",""size"":600},{""path"":""_thumbs/shaping-ai/cnnum-projet-de-loi-pour-une-republique-numerique-la-loyaute-des-plateformes.pdf.0.png.800.jpeg?v=1653922345643"",""size"":800},{""path"":""_thumbs/shaping-ai/cnnum-projet-de-loi-pour-une-republique-numerique-la-loyaute-des-plateformes.pdf.0.png.1600.jpeg?v=1653922345366"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_165217-p1v
Neutralité des plateformes - CNNUM,2014,"[ ""Cécile Crichton"" ]",rapport,CNNUM,Rapport du Conseil National du Numérique sur la neutralité des plateformes remis au ministre de l'économie.,CNNUM,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cnnum-rapport-neutralite-des-plateformes.pdf.0.png.180.jpeg?v=1653922506481"",""size"":180},{""path"":""_thumbs/shaping-ai/cnnum-rapport-neutralite-des-plateformes.pdf.0.png.360.jpeg?v=1653922506688"",""size"":360},{""path"":""_thumbs/shaping-ai/cnnum-rapport-neutralite-des-plateformes.pdf.0.png.600.jpeg?v=1653922506724"",""size"":600},{""path"":""_thumbs/shaping-ai/cnnum-rapport-neutralite-des-plateformes.pdf.0.png.800.jpeg?v=1653922506657"",""size"":800},{""path"":""_thumbs/shaping-ai/cnnum-rapport-neutralite-des-plateformes.pdf.0.png.1600.jpeg?v=1653922506581"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_165441-927
Votre attention s'il vous plaît ! CNNum,2022,"[ ""Célia Zolynski"" ]",rapport,CNNum,Quels leviers face à l'économie de l'attention,CNNum,"[ ""3.3. Optimiser les algorithmes"", ""4.1. Prises, emprises, déprises, reprises"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/document-16-votre-attention-s-il-vous-plait.pdf.0.png.180.jpeg?v=1688033357965"",""size"":180},{""path"":""_thumbs/shaping-ai/document-16-votre-attention-s-il-vous-plait.pdf.0.png.360.jpeg?v=1688033358027"",""size"":360},{""path"":""_thumbs/shaping-ai/document-16-votre-attention-s-il-vous-plait.pdf.0.png.600.jpeg?v=1688033358001"",""size"":600},{""path"":""_thumbs/shaping-ai/document-16-votre-attention-s-il-vous-plait.pdf.0.png.800.jpeg?v=1688033358014"",""size"":800},{""path"":""_thumbs/shaping-ai/document-16-votre-attention-s-il-vous-plait.pdf.0.png.1600.jpeg?v=1688033358370"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_120837-ty0
"Confiance, innovation, solidarité : Pour une vision française du numérique en santé",2020,"[ ""Ninon Burgos"" ]",rapport,Site du CNNum,Rapport du Conseil National du Numérique (CNNum) relatif à la transformation numérique du système de santé,CNNum,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cnum-confiance-innovation-solidarite-pour-une-vision-francaise-du-numerique-en-sante.pdf.0.png.180.jpeg?v=1654770725652"",""size"":180},{""path"":""_thumbs/shaping-ai/cnum-confiance-innovation-solidarite-pour-une-vision-francaise-du-numerique-en-sante.pdf.0.png.360.jpeg?v=1654770725711"",""size"":360},{""path"":""_thumbs/shaping-ai/cnum-confiance-innovation-solidarite-pour-une-vision-francaise-du-numerique-en-sante.pdf.0.png.600.jpeg?v=1654770725766"",""size"":600},{""path"":""_thumbs/shaping-ai/cnum-confiance-innovation-solidarite-pour-une-vision-francaise-du-numerique-en-sante.pdf.0.png.800.jpeg?v=1654770725712"",""size"":800},{""path"":""_thumbs/shaping-ai/cnum-confiance-innovation-solidarite-pour-une-vision-francaise-du-numerique-en-sante.pdf.0.png.1600.jpeg?v=1654770725917"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_123156-1jb
"Médecins et patients dans le monde des data, des algorithmes et de l'intelligence artificielle",2018,"[ ""Ninon Burgos"" ]",livre blanc,Site,Analyses et recommandations du Conseil National de l'Ordre des Médecins (Cnom) en matière de santé numérique,Cnom,"[ ""3.4. Travailler avec l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/cnom-medecins-et-patients-dans-le-monde-des-data-des-algorithmes-et-de-lia.pdf.0.png.180.jpeg?v=1654780982066"",""size"":180},{""path"":""_thumbs/shaping-ai/cnom-medecins-et-patients-dans-le-monde-des-data-des-algorithmes-et-de-lia.pdf.0.png.360.jpeg?v=1654780982101"",""size"":360},{""path"":""_thumbs/shaping-ai/cnom-medecins-et-patients-dans-le-monde-des-data-des-algorithmes-et-de-lia.pdf.0.png.600.jpeg?v=1654780982069"",""size"":600},{""path"":""_thumbs/shaping-ai/cnom-medecins-et-patients-dans-le-monde-des-data-des-algorithmes-et-de-lia.pdf.0.png.800.jpeg?v=1654780982107"",""size"":800},{""path"":""_thumbs/shaping-ai/cnom-medecins-et-patients-dans-le-monde-des-data-des-algorithmes-et-de-lia.pdf.0.png.1600.jpeg?v=1654780982292"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_152253-y5m
Reconnaissance faciale : questions d'éthique,2019,"[ ""Célia Zolynski"" ]",rapport,Comité Nationale Pilote d'Ethique du Numérique,,CNPEN,"[ ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/communique-de-presse-consultation-ouverte.pdf.0.png.180.jpeg?v=1688033241733"",""size"":180},{""path"":""_thumbs/shaping-ai/communique-de-presse-consultation-ouverte.pdf.0.png.360.jpeg?v=1688033241782"",""size"":360},{""path"":""_thumbs/shaping-ai/communique-de-presse-consultation-ouverte.pdf.0.png.600.jpeg?v=1688033241778"",""size"":600},{""path"":""_thumbs/shaping-ai/communique-de-presse-consultation-ouverte.pdf.0.png.800.jpeg?v=1688033241895"",""size"":800},{""path"":""_thumbs/shaping-ai/communique-de-presse-consultation-ouverte.pdf.0.png.1600.jpeg?v=1688033241880"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_120657-rmc
Entretien Frédéric Bardolle sur l'éthique des data scientists,2018,"[ ""Frédéric Bardolle"" ]",article de presse,Usbek & Rica,on cherche à éveiller la conscience des développeurs et data scientists,CNRS,"[ ""3.5. Justifier les projets d’IA "" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/usbek-rica-ethique-1.pdf.0.png.180.jpeg?v=1687369691059"",""size"":180},{""path"":""_thumbs/shaping-ai/usbek-rica-ethique-1.pdf.0.png.360.jpeg?v=1687369691107"",""size"":360},{""path"":""_thumbs/shaping-ai/usbek-rica-ethique-1.pdf.0.png.600.jpeg?v=1687369691105"",""size"":600},{""path"":""_thumbs/shaping-ai/usbek-rica-ethique-1.pdf.0.png.800.jpeg?v=1687369691112"",""size"":800},{""path"":""_thumbs/shaping-ai/usbek-rica-ethique-1.pdf.0.png.1600.jpeg?v=1687369691272"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230621_194756-dxf
"Algodiv, projet de recherche",2021,"[ ""P.Ramaciotti Morales"" ]",présentation (recherche),Site web du projet Algodiv,"Description des membres de l'équipe du projet de recherche interdisciplinaire Algodiv, qui s'intéresse aux polarisations des espaces numériques.","CNRS, Centre Marc Bloch, LIP6, Médialab de Sciences Po, Orange Labs, CAMS","[ ""1.5. Institutionnaliser l'IA comme discipline"", ""2.3. Ouvrir les boîtes noires"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/algodiv-members.png.180.jpeg?v=1655069690667"",""size"":180},{""path"":""_thumbs/shaping-ai/algodiv-members.png.360.jpeg?v=1655069690710"",""size"":360},{""path"":""_thumbs/shaping-ai/algodiv-members.png.600.jpeg?v=1655069690791"",""size"":600},{""path"":""_thumbs/shaping-ai/algodiv-members.png.800.jpeg?v=1655069692915"",""size"":800},{""path"":""_thumbs/shaping-ai/algodiv-members.png.1600.jpeg?v=1655069692570"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_233416-3ia
Brain Tumor Segmentation (BraTS) Challenge 2021,2021,"[ ""Ninon Burgos"" ]",challenge,Site du Center for Biomedical Image Computing & Analytics de la Perelman School of Medicine,"Présentation de l'édition 2021 de la compétition ""Brain Tumor Segmentation"" (BraTS)",Collectif,"[ ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/challenge-brats.pdf.0.png.180.jpeg?v=1654781239755"",""size"":180},{""path"":""_thumbs/shaping-ai/challenge-brats.pdf.0.png.360.jpeg?v=1654781239802"",""size"":360},{""path"":""_thumbs/shaping-ai/challenge-brats.pdf.0.png.600.jpeg?v=1654781239783"",""size"":600},{""path"":""_thumbs/shaping-ai/challenge-brats.pdf.0.png.800.jpeg?v=1654781239912"",""size"":800},{""path"":""_thumbs/shaping-ai/challenge-brats.pdf.0.png.1600.jpeg?v=1654781239891"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_152702-aes
La Grande Annotation. Donnons du sens au grand débat,2019,"[ ""Frédéric Bardolle"" ]",présentation (projet),"Site du projet ""La Grande Annotation""","Présentation du projet ""La Grande Annotation"", qui vise à annoter les réponses recueillies dans le cadre du Grand Débat",Collectif,"[ ""3.5. Justifier les projets d’IA "" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/grande-annotation.pdf.0.png.180.jpeg?v=1654959844431"",""size"":180},{""path"":""_thumbs/shaping-ai/grande-annotation.pdf.0.png.360.jpeg?v=1654959844469"",""size"":360},{""path"":""_thumbs/shaping-ai/grande-annotation.pdf.0.png.600.jpeg?v=1654959844461"",""size"":600},{""path"":""_thumbs/shaping-ai/grande-annotation.pdf.0.png.800.jpeg?v=1654959844562"",""size"":800},{""path"":""_thumbs/shaping-ai/grande-annotation.pdf.0.png.1600.jpeg?v=1654959844548"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_170337-unn
Rebels with a Cause (Your Privacy) - WIRED,1993,"[ ""Félix Tréguer"" ]",article de presse,WIRED,Couverture d'un numéro du magazine WIRED à propos de défenseurs de la confidentialité des données personnelles,WIRED,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""0. Des modes de participation à l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/rebels-with-a-cause.pdf.0.png.180.jpeg?v=1654955743548"",""size"":180},{""path"":""_thumbs/shaping-ai/rebels-with-a-cause.pdf.0.png.360.jpeg?v=1654955743598"",""size"":360},{""path"":""_thumbs/shaping-ai/rebels-with-a-cause.pdf.0.png.600.jpeg?v=1654955743564"",""size"":600},{""path"":""_thumbs/shaping-ai/rebels-with-a-cause.pdf.0.png.800.jpeg?v=1654955743694"",""size"":800},{""path"":""_thumbs/shaping-ai/rebels-with-a-cause.pdf.0.png.1600.jpeg?v=1654955743656"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_155529-j6g
Stratégie pour un marché unique numérique en Europe,2015,"[ ""Cécile Crichton"" ]",stratégie,Comminssion Européenne,"Communication de la commission au Parlement européen, AU CONSEIL, AU COMITÉ ÉCONOMIQUE ET SOCIAL EUROPÉEN ET AU COMITÉ DES RÉGIONS, impulsé par Juncker en 2015.",Commission Européenne,"[ ""2.4. Réguler l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/strate-gie-pour-un-marche-unique-nume-rique-en-europe-1.pdf.0.png.180.jpeg?v=1653921130700"",""size"":180},{""path"":""_thumbs/shaping-ai/strate-gie-pour-un-marche-unique-nume-rique-en-europe-1.pdf.0.png.360.jpeg?v=1653921130852"",""size"":360},{""path"":""_thumbs/shaping-ai/strate-gie-pour-un-marche-unique-nume-rique-en-europe-1.pdf.0.png.600.jpeg?v=1653921130872"",""size"":600},{""path"":""_thumbs/shaping-ai/strate-gie-pour-un-marche-unique-nume-rique-en-europe-1.pdf.0.png.800.jpeg?v=1653921130955"",""size"":800},{""path"":""_thumbs/shaping-ai/strate-gie-pour-un-marche-unique-nume-rique-en-europe-1.pdf.0.png.1600.jpeg?v=1653921130694"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_163203-ul5
Consultation citoyenne sur l'intelligence artificielle par l'Union Européenne,2020,"[ ""Cécile Crichton"" ]",communiqué,Publications Office of the European Union (Archive),Trace de consultation citoyenne sur l'IA effectuée le 19 Février 2020 (white paper suivi d'un questionnaire en ligne). Obtenu sur Wayback Archive. Pas d'autre trace de cette consultation n'ont pu être retrouvée en ligne.,Commission Européenne,"[ ""0. Des modes de participation à l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/ce-cile-01.pdf.0.png.180.jpeg?v=1653921937887"",""size"":180},{""path"":""_thumbs/shaping-ai/ce-cile-01.pdf.0.png.360.jpeg?v=1653921938039"",""size"":360},{""path"":""_thumbs/shaping-ai/ce-cile-01.pdf.0.png.600.jpeg?v=1653921938153"",""size"":600},{""path"":""_thumbs/shaping-ai/ce-cile-01.pdf.0.png.800.jpeg?v=1653921938063"",""size"":800},{""path"":""_thumbs/shaping-ai/ce-cile-01.pdf.0.png.1600.jpeg?v=1653921937884"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_164528-go7
Digital Markets Act (DMA),2021,"[ ""Célia Zolynski"", ""Cécile Crichton"", ""Sumi Saint-Auguste"" ]",texte législatif,Commission Européenne,Proposition législative de la Commission européenne visant à imposer des obligations aux plateformes et à réguler la concurrence,Commission Européenne,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.4. Réguler l’IA"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/document-21-digital-service-act.pdf.0.png.180.jpeg?v=1655020831293"",""size"":180},{""path"":""_thumbs/shaping-ai/document-21-digital-service-act.pdf.0.png.360.jpeg?v=1655020831376"",""size"":360},{""path"":""_thumbs/shaping-ai/document-21-digital-service-act.pdf.0.png.600.jpeg?v=1655020831349"",""size"":600},{""path"":""_thumbs/shaping-ai/document-21-digital-service-act.pdf.0.png.800.jpeg?v=1655020831524"",""size"":800},{""path"":""_thumbs/shaping-ai/document-21-digital-service-act.pdf.0.png.1600.jpeg?v=1655020831468"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_095952-w3l
Décision du Conseil constitutionnel | loi de sécurité globale,2021,"[ ""Félix Tréguer"" ]",décision de justice,Conseil constitutionnel,censure de l'article 24 qui visait à pénaliser la diffusion de vidéos de policiers en opération.,Conseil constitutionnel,"[ ""2.4. Réguler l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/2021817dc-cp-1.pdf.0.png.180.jpeg?v=1688389595193"",""size"":180},{""path"":""_thumbs/shaping-ai/2021817dc-cp-1.pdf.0.png.360.jpeg?v=1688389595232"",""size"":360},{""path"":""_thumbs/shaping-ai/2021817dc-cp-1.pdf.0.png.600.jpeg?v=1688389595207"",""size"":600},{""path"":""_thumbs/shaping-ai/2021817dc-cp-1.pdf.0.png.800.jpeg?v=1688389595225"",""size"":800},{""path"":""_thumbs/shaping-ai/2021817dc-cp-1.pdf.0.png.1600.jpeg?v=1688389595431"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230703_150617-vh0
